2025-12-12T05:31:52.577764100+00:00,BTC,92175.10666666666666666666667,1
2025-12-12T05:32:53.057168400+00:00,BTC,92198.10000000,2
2025-12-12T05:33:53.456976900+00:00,BTC,92210.20333333333333333333333,3
2025-12-12T05:34:54.247748200+00:00,BTC,92219.86333333333333333333333,4
2025-12-12T05:35:54.678814900+00:00,BTC,92236.90333333333333333333333,5
2025-12-12T05:36:55.146016500+00:00,BTC,92238.56666666666666666666667,6
2025-12-12T05:37:55.668928+00:00,BTC,92244.91333333333333333333333,7
2025-12-12T05:38:56.109265400+00:00,BTC,92262.29666666666666666666667,8
2025-12-12T05:39:40.559421700+00:00,BTC,92273.84333333333333333333333,9
2025-12-12T05:40:41.084038600+00:00,BTC,92304.26666666666666666666667,10
2025-12-12T05:41:41.646284500+00:00,BTC,92317.59666666666666666666667,11
2025-12-12T05:42:42.284837900+00:00,BTC,92315.30000000,12
2025-12-12T05:43:42.969713100+00:00,BTC,92312.03666666666666666666667,13
2025-12-12T05:44:43.671806800+00:00,BTC,92312.09000000,14
2025-12-12T05:45:44.238607600+00:00,BTC,92339.76666666666666666666667,15
2025-12-12T05:46:44.846766400+00:00,BTC,92359.75333333333333333333333,16
2025-12-12T05:47:45.292540200+00:00,BTC,92366.32333333333333333333333,17
2025-12-12T05:48:45.728232700+00:00,BTC,92422.40000000,18
2025-12-12T05:49:46.323412+00:00,BTC,92426.78000000,19
2025-12-12T05:50:46.958356800+00:00,BTC,92432.40000000,20
2025-12-12T05:51:47.766117300+00:00,BTC,92418.10000000,21
2025-12-12T05:52:48.234125900+00:00,BTC,92410.03333333333333333333333,22
2025-12-12T05:53:48.742355800+00:00,BTC,92412.25000000,23
2025-12-12T05:54:49.517775700+00:00,BTC,92413.76666666666666666666667,24
2025-12-12T05:55:49.987860200+00:00,BTC,92418.43333333333333333333333,25
